stimulus_id,block,type,ground_truth,environment_ground_truth,duration_seconds,stimulus_set,source_path,secondary_source_path,source,license_provenance,playback_level,question,choices,environment_choices,correct_response,notes
SP_A01,speech,quiet,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT,,4.062,A,benchmark_data/external/vivos/selected/VIVOSDEV01/VIVOSDEV01_R002.wav,,VIVOS official test utterance,VIVOS CC BY-NC-SA 4.0; Zenodo record 7068130,standard,Âm thanh nào được nhắc đến?,Tiếng cọc cạch|Tiếng mưa|Tiếng còi|Tiếng chó,,Tiếng cọc cạch,Set A quiet
SP_A02,speech,quiet,NẾU TƯỞNG TƯỢNG BẢY TÁM NĂM NỮA,,2.625,A,benchmark_data/external/vivos/selected/VIVOSDEV02/VIVOSDEV02_R005.wav,,VIVOS official test utterance,VIVOS CC BY-NC-SA 4.0; Zenodo record 7068130,standard,Câu nói nhắc đến khoảng thời gian nào?,Bảy tám năm nữa|Một hai ngày nữa|Ba tháng nữa|Mười năm trước,,Bảy tám năm nữa,Set A quiet
SP_A03,speech,quiet,MỘT CHUYẾN DU LỊCH DÃ NGOẠI TẠI BÒ CẠP VÀNG,,3.125,A,benchmark_data/external/vivos/selected/VIVOSDEV03/VIVOSDEV03_R007.wav,,VIVOS official test utterance,VIVOS CC BY-NC-SA 4.0; Zenodo record 7068130,standard,Chuyến đi diễn ra ở đâu?,Bò Cạp Vàng|Đà Lạt|Hạ Long|Cần Thơ,,Bò Cạp Vàng,Set A quiet
SP_A04,speech,mild_noise,ĐÓ CŨNG LÀ ĐỘNG LỰC THÚC ĐẨY TÔI,,3.375,A,benchmark_data/external/vivos/selected/VIVOSDEV04/VIVOSDEV04_R002.wav,benchmark_data/external/demand/selected/traffic.wav,VIVOS speech mixed at playback with DEMAND traffic noise,VIVOS CC BY-NC-SA 4.0; DEMAND CC BY-SA 3.0,standard,Câu nói mô tả điều gì thúc đẩy người nói?,Động lực|Nỗi sợ|Thời tiết|Âm nhạc,,Động lực,Set A mild noise; secondary at configured gain
SP_A05,speech,mild_noise,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,,4.062,A,benchmark_data/external/vivos/selected/VIVOSDEV05/VIVOSDEV05_004.wav,benchmark_data/external/demand/selected/office.wav,VIVOS speech mixed at playback with DEMAND office noise,VIVOS CC BY-NC-SA 4.0; DEMAND CC BY-SA 3.0,standard,Người nghe được yêu cầu tưởng tượng mình là ai?,Giám đốc dự án|Giáo viên|Bác sĩ|Lái xe,,Giám đốc dự án,Set A mild noise; secondary at configured gain
SP_A06,speech,mild_noise,ĐƠN GIẢN LÀ TÁN GẪU VỚI NHAU,,2.688,A,benchmark_data/external/vivos/selected/VIVOSDEV06/VIVOSDEV06_001.wav,benchmark_data/external/demand/selected/home.wav,VIVOS speech mixed at playback with DEMAND home noise,VIVOS CC BY-NC-SA 4.0; DEMAND CC BY-SA 3.0,standard,Mọi người đang làm gì?,Tán gẫu|Học bài|Nấu ăn|Chạy bộ,,Tán gẫu,Set A mild noise; secondary at configured gain
SP_B01,speech,quiet,HẰNG NĂM CHÚNG TA THẢI RA HÀNG TỈ THIẾT BỊ ĐIỆN TỬ,,3.469,B,benchmark_data/external/vivos/selected/VIVOSDEV07/VIVOSDEV07_002.wav,,VIVOS official test utterance,VIVOS CC BY-NC-SA 4.0; Zenodo record 7068130,standard,Thứ gì được thải ra hằng năm?,Thiết bị điện tử|Thực phẩm|Quần áo|Sách,,Thiết bị điện tử,Set B quiet
SP_B02,speech,quiet,ĐỪNG ĐỂ CON SÂU ĂN,,2.375,B,benchmark_data/external/vivos/selected/VIVOSDEV08/VIVOSDEV08_002.wav,,VIVOS official test utterance,VIVOS CC BY-NC-SA 4.0; Zenodo record 7068130,standard,Con vật nào được nhắc đến?,Con sâu|Con chó|Con mèo|Con chim,,Con sâu,Set B quiet
SP_B03,speech,quiet,LÀM RỜM RỢP BIỂN MÂY LAU LÁCH PHẤT PHƠ,,3.312,B,benchmark_data/external/vivos/selected/VIVOSDEV09/VIVOSDEV09_015.wav,,VIVOS official test utterance,VIVOS CC BY-NC-SA 4.0; Zenodo record 7068130,standard,Hình ảnh thiên nhiên nào được nhắc đến?,Biển mây|Dòng sông|Cánh đồng|Rừng thông,,Biển mây,Set B quiet
SP_B04,speech,mild_noise,KHI BỊ CÔNG AN THỘP CỔ KHẨN CẤP,,2.812,B,benchmark_data/external/vivos/selected/VIVOSDEV10/VIVOSDEV10_010.wav,benchmark_data/external/demand/selected/cafeteria.wav,VIVOS speech mixed at playback with DEMAND cafeteria noise,VIVOS CC BY-NC-SA 4.0; DEMAND CC BY-SA 3.0,standard,Ai được nhắc đến trong câu?,Công an|Bác sĩ|Giáo viên|Nông dân,,Công an,Set B mild noise; secondary at configured gain
